Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,4,Wed,2019-11-06,21:00 (15:00),Paris S-G fr,1.4,1–0,1.7,be Club Brugge,47418,Parc des Princes,Bobby Madden,Match Report,
Group stage,4,Wed,2019-11-06,21:00 (15:00),Real Madrid es,4.0,6–0,0.3,tr Galatasaray,65492,Estadio Santiago Bernabéu,Felix Zwayer,Match Report,
Group stage,4,Wed,2019-11-06,21:00 (15:00),Red Star rs,0.6,0–4,2.6,eng Tottenham,42381,Stadion Rajko Mitić,Carlos del Cerro,Match Report,
Group stage,4,Wed,2019-11-06,21:00 (15:00),Dinamo Zagreb hr,1.7,3–3,2.1,ua Shakhtar,28316,Stadion Maksimir,Felix Brych,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Tue,2019-11-26,20:55 (12:55),Galatasaray tr,0.5,1–1,1.3,be Club Brugge,34500,Türk Telekom Arena,Ivan Kružliak,Match Report,
Group stage,5,Tue,2019-11-26,20:55 (12:55),Loko Moscow ru,1.3,0–2,0.7,de Leverkusen,25757,RZD Arena,Michael Oliver,Match Report,
Group stage,5,Tue,2019-11-26,20:00 (15:00),Manchester City eng,1.3,1–1,0.6,ua Shakhtar,52020,Etihad Stadium,Slavko Vinčič,Match Report,
Group stage,5,Tue,2019-11-26,20:00 (15:00),Tottenham eng,1.9,4–2,1.4,gr Olympiacos,57024,Tottenham Hotspur Stadium,Georgi Kabakov,Match Report,
Group stage,5,Tue,2019-11-26,21:00 (15:00),Real Madrid es,3.0,2–2,1.9,fr Paris S-G,75534,Estadio Santiago Bernabéu,Artur Soares Dias,Match Report,
Group stage,5,Tue,2019-11-26,21:00 (15:00),Red Star rs,0.1,0–6,4.7,de Bayern Munich,44118,Stadion Rajko Mitić,Björn Kuipers,Match Report,
Group stage,5,Tue,2019-11-26,21:00 (15:00),Juventus it,0.3,1–0,0.9,es Atlético Madrid,40486,Allianz Stadium,Anthony Taylor,Match Report,
Group stage,5,Tue,2019-11-26,21:00 (15:00),Atalanta it,3.1,2–0,0.3,hr Dinamo Zagreb,26496,Stadio Giuseppe Meazza,Sergey Karasev,Match Report,
Group stage,5,Wed,2019-11-27,18:55 (12:55),Valencia es,2.8,2–2,2.5,eng Chelsea,43486,Estadio de Mestalla,Felix Zwayer,Match Report,
Group stage,5,Wed,2019-11-27,20:55 (12:55),Zenit ru,0.6,2–0,0.5,fr Lyon,51183,Gazprom Arena,Daniele Orsato,Match Report,
Group stage,5,Wed,2019-11-27,20:00 (15:00),Liverpool eng,0.8,1–1,0.2,it Napoli,52128,Anfield,Carlos del Cerro,Match Report,
Group stage,5,Wed,2019-11-27,21:00 (15:00),Slavia Prague cz,1.9,1–3,2.5,it Inter,19370,Sinobo Stadium,Szymon Marciniak,Match Report,
Group stage,5,Wed,2019-11-27,21:00 (15:00),Genk be,1.8,1–4,2.4,at RB Salzburg,17284,Luminus Arena,Mattias Gestranius,Match Report,
Group stage,5,Wed,2019-11-27,21:00 (15:00),Lille fr,1.7,0–2,1.6,nl Ajax,48612,Stade Pierre-Mauroy,Felix Brych,Match Report,
