Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 32,,Wed,2018-02-21,20:00 (12:00),CSKA Moscow ru,1–0,rs Red Star,18753,VEB Arena (Neutral Site),Jorge de Sousa,Match Report,Leg 2 of 2; CSKA Moscow won
Round of 32,,Thu,2018-02-22,19:00 (11:00),Loko Moscow ru,1–0,fr Nice,18104,RZD Arena (Neutral Site),Pavel Královec,Match Report,Leg 2 of 2; Loko Moscow won
Round of 32,,Thu,2018-02-22,18:00 (13:00),Sporting CP pt,3–3,kz FC Astana,30456,Estádio José Alvalade (Neutral Site),Tamás Bognár,Match Report,Leg 2 of 2; Sporting CP won
Round of 32,,Thu,2018-02-22,19:00 (13:00),Viktoria Plzeň cz,2–0,rs Partizan,10185,Doosan Arena (Neutral Site),Jakob Kehlet,Match Report,Leg 2 of 2; Viktoria Plzeň won
Round of 32,,Thu,2018-02-22,19:00 (13:00),Villarreal es,0–1,fr Lyon,17028,Estadio de la Cerámica (Neutral Site),Luca Banti,Match Report,Leg 2 of 2; Lyon won
Round of 32,,Thu,2018-02-22,19:00 (13:00),Atlético Madrid es,1–0,dk FC Copenhagen,44035,Estadio Wanda Metropolitano (Neutral Site),Gediminas Mažeika,Match Report,Leg 2 of 2; Atlético Madrid won
Round of 32,,Thu,2018-02-22,19:00 (13:00),Lazio it,5–1,ro FCSB,27597,Stadio Olimpico (Neutral Site),Slavko Vinčić,Match Report,Leg 2 of 2; Lazio won
Round of 32,,Thu,2018-02-22,19:00 (13:00),RB Leipzig de,0–2,it Napoli,36163,Red Bull Arena (Neutral Site),Anthony Taylor,Match Report,Leg 2 of 2; RB Leipzig won
Round of 32,,Thu,2018-02-22,20:00 (13:00),Dynamo Kyiv ua,0–0,gr AEK Athens,27024,NSK Olimpijs'kyj (Neutral Site),Matej Jug,Match Report,Leg 2 of 2; Dynamo Kyiv won
Round of 32,,Thu,2018-02-22,21:00 (13:00),Zenit ru,3–0,sco Celtic,50492,Stadion Petrovskij (Neutral Site),Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Zenit won
Round of 32,,Thu,2018-02-22,20:05 (15:05),Braga pt,1–0,fr Marseille,9016,Estádio Municipal de Bragança (Neutral Site),Svein Oddvar Moen,Match Report,Leg 2 of 2; Marseille won
