Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,6,Thu,12/13/2018,20:55 (12:55),Beşiktaş tr,2.3,0–1,1.4,se Malmö,24955,Vodafone Arena,Luca Banti,Match Report,
Group stage,6,Thu,12/13/2018,20:00 (15:00),Sporting CP pt,2.6,3–0,0.3,ua Vorskla Poltava,25504,Estádio José Alvalade,Manuel Schüttengruber,Match Report,
Group stage,6,Thu,12/13/2018,20:00 (15:00),Arsenal eng,1.1,1–0,0.1,az Qarabağ Ağdam,58101,Arsenal Stadium,Jens Maae,Match Report,
Group stage,6,Thu,12/13/2018,20:00 (15:00),Celtic sco,2,1–2,2.3,at RB Salzburg,57578,Celtic Park,Ruddy Buquet,Match Report,
Group stage,6,Thu,12/13/2018,21:00 (15:00),RB Leipzig de,2.2,1–1,0.7,no Rosenborg,16957,Red Bull Arena,Serhii Boiko,Match Report,
Group stage,6,Thu,12/13/2018,21:00 (15:00),F91 Dudelange lu,0,0–0,1.3,es Betis,4931,Stade Josy Barthel,Peter Kráľovič,Match Report,
Group stage,6,Thu,12/13/2018,21:00 (15:00),Slavia Prague cz,1.3,2–0,0.2,ru Zenit,17748,Sinobo Stadium,Andrew Dallas,Match Report,
Group stage,6,Thu,12/13/2018,21:00 (15:00),FC Copenhagen dk,0.9,0–1,0.9,fr Bordeaux,18209,Telia Parken,Hüseyin Göçek,Match Report,
Group stage,6,Thu,12/13/2018,21:00 (15:00),Dinamo Zagreb hr,0.4,0–0,0.4,be Anderlecht,12170,Stadion Maksimir,Sandro Schärer,Match Report,
Group stage,6,Thu,12/13/2018,21:00 (15:00),Spartak Trnava sk,0.9,1–0,0.8,tr Fenerbahçe,11413,City Arena Trnava,José Sánchez,Match Report,
Group stage,6,Thu,12/13/2018,22:00 (15:00),Ludogorets bg,1.4,1–1,0.3,ch Zürich,2150,Ludogorets Arena,Kirill Levnikov,Match Report,
Group stage,6,Thu,12/13/2018,22:00 (15:00),Olympiacos gr,3.2,3–1,1.7,it Milan,31010,Stadio Georgios Karaiskáki,Benoît Bastien,Match Report,
Group stage,6,Thu,12/13/2018,22:00 (15:00),AÉK Lárnaka cy,0.5,1–5,1.8,de Leverkusen,1584,Neo GSP,François Letexier,Match Report,
,,,,,,,,,,,,,,
Round of 32,,Tue,2/12/2019,20:55 (12:55),Fenerbahçe tr,0.8,1–0,1.1,ru Zenit,35672,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Ruddy Buquet,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,18:55 (12:55),Lazio it,0.7,0–1,1.3,es Sevilla,19766,Stadio Olimpico,Nejc Kajtazović,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,18:55 (12:55),Rapid Wien at,0.4,0–1,1.8,it Inter,23850,Allianz Stadion,Tobias Stieler,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,18:55 (12:55),Slavia Prague cz,1.2,0–0,0.9,be Genk,18125,Sinobo Stadium,Aleksandrs Golubevs,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,18:55 (12:55),Rennes fr,1.7,3–3,1.7,es Betis,28656,Roazhon Park,Tasos Sidiropoulos,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,19:55 (12:55),Olympiacos gr,0.7,2–2,0.7,ua Dynamo Kyiv,31020,Stadio Georgios Karaiskáki,Craig Pawson,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,20:55 (12:55),BATE Borisov by,0.4,1–0,1.6,eng Arsenal,12527,Borisov Arena,Zoran Široki,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,20:55 (12:55),Galatasaray tr,0.9,1–2,1.9,pt Benfica,42722,Türk Telekom Arena,Santiago Jaime,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,20:55 (12:55),Krasnodar ru,0.8,0–0,0.9,de Leverkusen,34827,Krasnodar Stadium,Maurizio Mariani,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,20:00 (15:00),Sporting CP pt,0.5,0–1,0.7,es Villarreal,27134,Estádio José Alvalade,Clément Turpin,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,20:00 (15:00),Celtic sco,0.2,0–2,1.4,es Valencia,57430,Celtic Park,Ovidiu Hațegan,Match Report,Leg 1 of 2
Round of 32,,Thu,2/14/2019,21:00 (15:00),Viktoria Plzeň cz,1.4,2–1,0.6,hr Dinamo Zagreb,9731,Doosan Arena,Serdar Gözübüyük,Match Report,Leg 1 of 2
